state,name,localid,year,p1,p2,p3,p4,p1_impute,p2_impute
LA,Grant Parish,022,2015,0,5.67,59.79,34.54,1,0
LA,Iberia Parish,023,2015,0,2.77,46.95,50.28,1,0
LA,Iberville Parish,024,2015,0.010000000000005116,3.02,60.71,36.26,1,0
LA,Jackson Parish,025,2015,0,1.3700000000000045,36.73,61.9,1,1
LA,Jefferson Parish,026,2015,0.269999999999996,12.15,59.94,27.64,1,0
LA,Jefferson Davis Parish,027,2015,0,1.0900000000000034,28.07,70.84,1,1
LA,Lafayette Parish,028,2015,0.10999999999999943,3.69,39.02,57.18,1,0
LA,Lafourche Parish,029,2015,0,3.61,61.12,35.27,1,0
LA,LaSalle Parish,030,2015,0.010000000000005116,6.21,49.15,44.63,1,0
LA,Lincoln Parish,031,2015,0,0.480000000000004,19,80.52,1,1
LA,Livingston Parish,032,2015,0,1.3599999999999852,27.71,70.93,1,1
LA,Madison Parish,033,2015,2.3,12.64,79.31,5.75,0,0
LA,Morehouse Parish,034,2015,0.3500000000000085,6.6,48.26,44.79,1,0
LA,Natchitoches Parish,035,2015,1.4210854715202004e-14,5.58,48.44,45.98,1,0
LA,Orleans Parish (without previously failing RSD schools),036,2015,0.6599999999999966,3.6,50.07,45.67,1,0
LA,Ouachita Parish,037,2015,0,2.25,34.24,63.51,1,0
LA,Plaquemines Parish,038,2015,0.010000000000005116,7.74,49.83,42.42,1,0
LA,Pointe Coupee Parish,039,2015,0,15.08,49.72,35.2,1,0
LA,Rapides Parish,040,2015,0.18999999999999773,3.41,34.54,61.86,1,0
LA,Red River Parish,041,2015,0.9099999999999966,15.6,66.06,17.43,1,0
LA,Richland Parish,042,2015,0,8.53,72.99,18.48,1,0
LA,Sabine Parish,043,2015,0.3500000000000085,15.86,53.79,30,1,0
LA,St. Bernard Parish,044,2015,0.6899999999999977,7.91,60.7,30.7,1,0
LA,St. Charles Parish,045,2015,0.12999999999999545,8.04,62.45,29.38,1,0
LA,St. Helena Parish,046,2015,-0.009999999999990905,17.19,71.88,10.94,1,0
LA,St. James Parish,047,2015,0,3.09,61.17,35.74,1,0
LA,St. John the Baptist Parish,048,2015,0,14.78,53.94,31.28,1,0
LA,St. Landry Parish,049,2015,0.10999999999999943,4.29,55.01,40.59,1,0
LA,St. Martin Parish,050,2015,0,2.1,59.24,38.66,1,0
LA,St. Mary Parish,051,2015,0.1700000000000017,2.17,53.42,44.24,1,0
LA,St. Tammany Parish,052,2015,0.010000000000005116,2.05,38.75,59.19,1,0
LA,Tangipahoa Parish,053,2015,0.9900000000000091,11.43,62.47,25.11,1,0
LA,Tensas Parish,054,2015,0.009999999999990905,6.12,32.65,61.22,1,0
LA,Terrebonne Parish,055,2015,0.5300000000000011,8.59,46.86,44.02,1,0
LA,Union Parish,056,2015,-0.010000000000005116,6.98,48.84,44.19,1,0
LA,Vermilion Parish,057,2015,0.1600000000000108,6.05,49.67,44.12,1,0
LA,Vernon Parish,058,2015,-0.009999999999990905,3.75,48.21,48.05,1,0
LA,Washington Parish,059,2015,0.6400000000000006,6.98,57.46,34.92,1,0
LA,Webster Parish,060,2015,0,3.39,45.76,50.85,1,0
LA,West Baton Rouge Parish,061,2015,0.009999999999990905,2.01,42.28,55.7,1,0
LA,West Carroll Parish,062,2015,0,0.7399999999999949,20,79.26,1,1
LA,West Feliciana Parish,063,2015,0,0,42.68,57.32,1,1
LA,Winn Parish,064,2015,0,3.03,58.18,38.79,1,0
LA,City of Monroe Parish,065,2015,0.5,8,63,28.5,1,0
LA,City of Bogalusa Parish,066,2015,1.0100000000000051,16.16,59.6,23.23,1,0
LA,Zachary Community Parish,067,2015,0,0.28000000000000114,18.26,81.46,1,1
LA,City of Baker Parish,068,2015,0.8300000000000125,13.22,67.77,18.18,1,0
LA,Central Community Parish,069,2015,0,1.5,20.3,78.2,1,0
LA,Acadia Parish,001,2016,0,4.1,37.54,58.36,1,0
LA,Allen Parish,002,2016,-1.4210854715202004e-14,1.54,26.46,72,1,0
LA,Ascension Parish,003,2016,0.06999999999999318,8.21,67.72,24,1,0
LA,Assumption Parish,004,2016,0.010000000000005116,12.83,66.81,20.35,1,0
LA,Avoyelles Parish,005,2016,0.9399999999999977,11.21,45.48,42.37,1,0
LA,Beauregard Parish,006,2016,0,0.2400000000000091,11.99,87.77,1,1
LA,Bienville Parish,007,2016,-0.009999999999990905,7.43,50.29,42.29,1,0
LA,Bossier Parish,008,2016,0,0.6899999999999977,19.19,80.12,1,1
LA,Caddo Parish (without schools assigned to RSD),009,2016,0.3199999999999932,4.75,39.67,55.26,1,0
LA,Calcasieu Parish,010,2016,0.03999999999999204,3.66,28.65,67.65,1,0
LA,Caldwell Parish,011,2016,1.68,15.13,42.02,41.18,0,0
LA,Cameron Parish,012,2016,0,6.47,25.18,68.35,1,0
LA,Catahoula Parish,013,2016,0.010000000000005116,4.76,25.71,69.52,1,0
LA,Claiborne Parish,014,2016,0,4.08,41.84,54.08,1,0
LA,Concordia Parish,015,2016,1.4210854715202004e-14,4.02,42.41,53.57,1,0
LA,DeSoto Parish,016,2016,0.2799999999999869,4.26,46.31,49.15,1,0
LA,East Baton Rouge Parish (without schools assigned to RSD),017,2016,0.28999999999999204,5.72,38.02,55.97,1,0
LA,East Carroll Parish,018,2016,0.009999999999990905,10.34,55.17,34.48,1,0
LA,East Feliciana Parish,019,2016,-0.010000000000005116,10.61,63.64,25.76,1,0
LA,Evangeline Parish,020,2016,0.2600000000000051,3.13,23.24,73.37,1,0
LA,Franklin Parish,021,2016,0,1.0400000000000063,31.25,67.71,1,1
LA,Grant Parish,022,2016,0.4899999999999949,6.4,57.64,35.47,1,0
LA,Iberia Parish,023,2016,0.11000000000001364,7.66,47.72,44.51,1,0
LA,Iberville Parish,024,2016,0.269999999999996,4.7,63.54,31.49,1,0
LA,Jackson Parish,025,2016,0,4.14,31.72,64.14,1,0
LA,Jefferson Parish,026,2016,0.4899999999999949,15.48,54.1,29.93,1,0
LA,Jefferson Davis Parish,027,2016,0,0.27000000000001023,27.57,72.16,1,1
