state,year,localid,name,e1,e2,e3,e4,et,e1_impute,e2_impute,e3_impute,e4_impute,p1,p2,p3,p4,ps
OH,2017,047795,edison local,NA,NA,NA,NA,90,NA,NA,NA,NA,0,1.086956,34.782607999999996,64.13043400000001,0
OH,2018,047795,edison local,NA,NA,NA,NA,91,NA,NA,NA,NA,0,3,26.3,69.7,1
OH,2019,047795,edison local,NA,NA,NA,NA,91,NA,NA,NA,NA,0,3,39.4,56.6,1
OH,2014,047803,indian creek local,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA
OH,2017,047803,indian creek local,NA,NA,NA,NA,134,NA,NA,NA,NA,0,0.8403360000000001,26.050420000000003,70.588235,0.02521008
OH,2018,047803,indian creek local,NA,NA,NA,NA,123,NA,NA,NA,NA,0,0,30.8,68.3,0.8
OH,2019,047803,indian creek local,NA,NA,NA,NA,138,NA,NA,NA,NA,0,0.8,29.400000000000002,68.1,1.7
OH,2014,047811,knox county esc,0,0,8,4,12,1,1,0,0,NA,NA,NA,NA,NA
OH,2014,047829,centerburg local,0,0,14,48,62,1,1,0,0,NA,NA,NA,NA,NA
OH,2017,047829,centerburg local,NA,NA,NA,NA,66,NA,NA,NA,NA,0,1.470588,29.411764,69.117647,0
OH,2018,047829,centerburg local,NA,NA,NA,NA,65,NA,NA,NA,NA,0,1.5,27.900000000000002,70.60000000000001,0
OH,2019,047829,centerburg local,NA,NA,NA,NA,68,NA,NA,NA,NA,0,1.5,31.8,65.2,1.5
OH,2017,047837,danville local,NA,NA,NA,NA,50,NA,NA,NA,NA,0,1.960784,45.098039,50.980391999999995,0.01960784
OH,2018,047837,danville local,NA,NA,NA,NA,48,NA,NA,NA,NA,0,1.9000000000000001,50,46.2,1.9000000000000001
OH,2019,047837,danville local,NA,NA,NA,NA,48,NA,NA,NA,NA,0,0,49,47.1,3.9
OH,2014,047845,east knox local,0,0,29,25,54,1,1,0,0,NA,NA,NA,NA,NA
OH,2017,047845,east knox local,NA,NA,NA,NA,60,NA,NA,NA,NA,0,0,42.372881,57.627117999999996,0
OH,2018,047845,east knox local,NA,NA,NA,NA,61,NA,NA,NA,NA,0,0,44.4,55.6,0
OH,2019,047845,east knox local,NA,NA,NA,NA,62,NA,NA,NA,NA,0,1.6,46,52.4,0
OH,2014,047852,fredericktown local,0,6,35,21,62,1,0,0,0,NA,NA,NA,NA,NA
OH,2017,047852,fredericktown local,NA,NA,NA,NA,67,NA,NA,NA,NA,0,1.351351,54.054053999999994,37.837837,0.06756756
OH,2018,047852,fredericktown local,NA,NA,NA,NA,70,NA,NA,NA,NA,0,3.8000000000000003,49.4,44.300000000000004,2.5
OH,2019,047852,fredericktown local,NA,NA,NA,NA,73,NA,NA,NA,NA,0,1.3,48.7,42.1,7.9
OH,2014,047860,lake county esc,0,0,21,10,31,1,1,0,0,NA,NA,NA,NA,NA
OH,2014,047878,kirtland local,0,4,25,37,66,1,0,0,0,NA,NA,NA,NA,NA
OH,2017,047878,kirtland local,NA,NA,NA,NA,73,NA,NA,NA,NA,0,0,25.714284999999997,74.285714,0
OH,2018,047878,kirtland local,NA,NA,NA,NA,74,NA,NA,NA,NA,0,0,20,72.9,7.1000000000000005
OH,2019,047878,kirtland local,NA,NA,NA,NA,65,NA,NA,NA,NA,0,0,12.3,83.10000000000001,4.6000000000000005
OH,2014,047886,madison local,0,0,3,158,161,1,1,0,0,NA,NA,NA,NA,NA
OH,2017,047886,madison local,NA,NA,NA,NA,148,NA,NA,NA,NA,0,0,10.828025,88.535031,0.00636942
OH,2018,047886,madison local,NA,NA,NA,NA,148,NA,NA,NA,NA,0,1.3,6.9,90.60000000000001,1.3
OH,2019,047886,madison local,NA,NA,NA,NA,152,NA,NA,NA,NA,0,0.6,10.6,88.8,0
OH,2017,047894,riverside local,NA,NA,NA,NA,229,NA,NA,NA,NA,0,1.271186,14.830508,77.542372,0.06355932
OH,2018,047894,riverside local,NA,NA,NA,NA,225,NA,NA,NA,NA,0,0.9,40.5,57.800000000000004,0.9
OH,2019,047894,riverside local,NA,NA,NA,NA,221,NA,NA,NA,NA,0,1.8,47.300000000000004,47.300000000000004,3.6
OH,2017,047902,perry local,NA,NA,NA,NA,105,NA,NA,NA,NA,0,0.833333,30,69.16666599999999,0
OH,2018,047902,perry local,NA,NA,NA,NA,104,NA,NA,NA,NA,0,0,29.8,67.5,2.6
OH,2019,047902,perry local,NA,NA,NA,NA,105,NA,NA,NA,NA,0,0,19.8,77.5,2.7
OH,2014,047910,lawrence county esc,0,0,8,0,8,1,1,0,1,NA,NA,NA,NA,NA
OH,2014,047928,dawson-bryant local,0,0,24,51,75,1,1,0,0,NA,NA,NA,NA,NA
OH,2017,047928,dawson-bryant local,NA,NA,NA,NA,79,NA,NA,NA,NA,0,0,7.594936,89.873417,0.02531645
OH,2019,047928,dawson-bryant local,NA,NA,NA,NA,78,NA,NA,NA,NA,0,0,10.3,89.7,0
OH,2014,047936,fairland local,0,3,30,61,94,1,0,0,0,NA,NA,NA,NA,NA
OH,2017,047936,fairland local,NA,NA,NA,NA,84,NA,NA,NA,NA,0,0,20.224719,79.77528000000001,0
OH,2018,047936,fairland local,NA,NA,NA,NA,93,NA,NA,NA,NA,0,2.2,28.3,68.5,1.1
OH,2019,047936,fairland local,NA,NA,NA,NA,91,NA,NA,NA,NA,0,1.1,33.3,65.6,0
OH,2014,047944,rock hill local,0,6,49,53,108,1,0,0,0,NA,NA,NA,NA,NA
OH,2017,047944,rock hill local,NA,NA,NA,NA,110,NA,NA,NA,NA,0,0,50,47.272726999999996,0.02727272
OH,2018,047944,rock hill local,NA,NA,NA,NA,109,NA,NA,NA,NA,0,0.9,41.7,57.4,0
OH,2019,047944,rock hill local,NA,NA,NA,NA,117,NA,NA,NA,NA,0,8.3,40.4,51.4,0
