state,year,name,localid,et,e4,e3,e2,e1
MI,2012,international academy of flint,25905,60,6,54,0,0
MI,2012,international academy of saginaw,73912,23,0,20,3,0
MI,2012,ionia isd  - district created from isd,34000,31,1,29,1,0
MI,2012,ionia public schools,34010,182,46,132,4,0
MI,2012,ionia township s/d #2,34360,1,0,1,0,0
MI,2012,iosco resa  - district created from isd,35000,10,4,4,2,0
MI,2012,iron mountain public schools,22010,89,0,89,0,0
MI,2012,ironwood area schools of gogebic county,27020,68,0,68,0,0
MI,2012,ishpeming public school district no. 1,52180,57,39,16,0,2
MI,2012,island city academy,23901,15,2,6,7,0
MI,2012,ithaca public schools,29060,85,29,55,1,0
MI,2012,jackson isd  - district created from isd,38000,89,47,41,0,1
MI,2012,jackson public schools,38170,385,133,250,1,1
MI,2012,jalen rose leadership academy,82728,9,0,4,2,3
MI,2012,jefferson schools (monroe),58080,131,27,102,2,0
MI,2012,jenison public schools,70175,315,34,278,1,2
MI,2012,johannesburg-lewiston area schools,69030,54,0,54,0,0
MI,2012,jonesville community schools,30030,79,9,68,2,0
MI,2012,joseph k. lumsden bahweting anishnabe academy,17901,46,0,46,0,0
MI,2012,joy preparatory academy,82958,22,9,13,0,0
MI,2012,kalamazoo public schools,39010,807,130,672,3,2
MI,2012,kalamazoo resa  - district created from isd,39000,81,23,58,0,0
MI,2012,kaleva norman dickson school district,51045,42,0,42,0,0
MI,2012,kalkaska public schools,40040,112,0,112,0,0
MI,2012,kearsley community school district,25110,165,89,75,1,0
MI,2012,kelloggsville public schools,41140,151,32,116,2,1
MI,2012,kenowa hills public schools,41145,204,117,84,0,3
MI,2012,kensington woods schools,47901,14,4,9,0,1
MI,2012,kent city community schools,41150,86,15,70,1,0
MI,2012,kent isd  - district created from isd,41000,68,20,48,0,0
MI,2012,kentwood public schools,41160,515,103,408,4,0
MI,2012,keystone academy,82976,34,5,25,4,0
MI,2012,kingsley area schools,28090,77,12,65,0,0
MI,2012,kingston community school district,79080,33,0,33,0,0
MI,2012,knapp charter academy,41914,39,0,39,0,0
MI,2012,l'anse area schools,7040,55,42,12,1,0
MI,2012,l'anse creuse public schools,50140,651,521,123,6,1
MI,2012,laingsburg community schools,78040,59,10,47,2,0
MI,2012,lake city area school district,57020,74,0,73,1,0
MI,2012,lake fenton community schools,25200,100,28,71,0,1
MI,2012,lake linden-hubbell school district,31130,41,30,11,0,0
MI,2012,lake orion community schools,63230,443,0,441,1,1
MI,2012,lake shore public schools (macomb),50120,201,0,201,0,0
